distribution,seed,method,mean_dcor,sd_dcor,p95_dcor,max_dcor
h,4,ZCA,0.15088084173801072,0.022526980233558352,0.18124880124598394,0.22638995474078663
h,4,PCA,0.1472543331426702,0.02184855354206505,0.17936924164719034,0.21551238817885132
h,4,Cholesky,0.1431696419737009,0.015892603868879664,0.1657902511683172,0.17150946487594745
h,4,ZCA-cor,0.1511729493468289,0.023343410906185375,0.1823237542497584,0.22512209162988958
h,4,PCA-cor,0.14700222653798012,0.019874672684211198,0.17768057443728053,0.1870929693228907
h,5,Mixed,0.2820010267013962,0.1229473708933013,0.4827346034117847,0.6011611584925843
h,5,ZCA,0.1540916599724278,0.02085952225001423,0.18848921589301115,0.20929356206338923
h,5,PCA,0.15189552253063404,0.022940163296290162,0.1928668290738941,0.2099546991165327
h,5,Cholesky,0.1516119564366087,0.024142999073717163,0.1918599888786602,0.19780366822783885
h,5,ZCA-cor,0.15317715462676426,0.02314407290419465,0.19506049391802163,0.215171839332937
h,5,PCA-cor,0.1467222515162419,0.020556735904066148,0.1748289205068991,0.19816105436931544
h,6,Mixed,0.3223303216003266,0.14790002271883917,0.5731026795566788,0.7698978218259335
h,6,ZCA,0.1431013176328869,0.016281924216155944,0.1731861577323563,0.1891930191289372
h,6,PCA,0.14663621263172688,0.02205675576256349,0.1915621597596747,0.19559428688366132
h,6,Cholesky,0.1471322485096332,0.01882048449163201,0.17820307668469515,0.1965804236528488
