distribution,method,seed,rotation,base_dcor,rotation_dcor,difference
e,ZCA,1,87,0.1386905331704406,0.1332490160138105,-0.005441517156630105
e,ZCA,1,88,0.1386905331704406,0.13272763092160425,-0.00596290224883636
e,ZCA,1,89,0.1386905331704406,0.13037398895187405,-0.008316544218566563
e,ZCA,1,90,0.1386905331704406,0.14397528964923767,0.005284756478797059
e,ZCA,1,91,0.1386905331704406,0.13993165969735777,0.0012411265269171579
e,ZCA,1,92,0.1386905331704406,0.1401709489678092,0.0014804157973686005
e,ZCA,1,93,0.1386905331704406,0.13962238803226507,0.0009318548618244549
e,ZCA,1,94,0.1386905331704406,0.1416350943933398,0.0029445612228991835
e,ZCA,1,95,0.1386905331704406,0.12966536498742612,-0.009025168183014493
e,ZCA,1,96,0.1386905331704406,0.14315348067396028,0.004462947503519665
e,ZCA,1,97,0.1386905331704406,0.13310463249994078,-0.005585900670499827
e,ZCA,1,98,0.1386905331704406,0.12702550431540904,-0.011665028855031567
e,ZCA,1,99,0.1386905331704406,0.13930492865773428,0.0006143954872936674
e,ZCA,2,0,0.13052352601246528,0.12760815157718075,-0.002915374435284529
e,ZCA,2,1,0.13052352601246528,0.12663664089007395,-0.003886885122391326
e,ZCA,2,2,0.13052352601246528,0.13079825434713813,0.00027472833467284685
e,ZCA,2,3,0.13052352601246528,0.12220603871176293,-0.00831748730070235
e,ZCA,2,4,0.13052352601246528,0.13079476277803068,0.0002712367655653969
e,ZCA,2,5,0.13052352601246528,0.12301545145523851,-0.007508074557226768
e,ZCA,2,6,0.13052352601246528,0.11935897961496307,-0.011164546397502209
e,ZCA,2,7,0.13052352601246528,0.13385223446896355,0.0033287084564982694
e,ZCA,2,8,0.13052352601246528,0.13179091239794713,0.0012673863854818501
e,ZCA,2,9,0.13052352601246528,0.13249487145522576,0.0019713454427604804
e,ZCA,2,10,0.13052352601246528,0.12460639374190531,-0.005917132270559969
e,ZCA,2,11,0.13052352601246528,0.13249267830667646,0.001969152294211185
e,ZCA,2,12,0.13052352601246528,0.12613109747236634,-0.004392428540098942
e,ZCA,2,13,0.13052352601246528,0.13157701368625588,0.0010534876737905985
e,ZCA,2,14,0.13052352601246528,0.1321768252257133,0.0016532992132480273
e,ZCA,2,15,0.13052352601246528,0.1305786869712546,5.5160958789324255e-05
e,ZCA,2,16,0.13052352601246528,0.13345584188609802,0.0029323158736327404
e,ZCA,2,17,0.13052352601246528,0.1214232997560275,-0.009100226256437777
e,ZCA,2,18,0.13052352601246528,0.1312231174178908,0.0006995914054255259
e,ZCA,2,19,0.13052352601246528,0.13248498319967347,0.001961457187208193
e,ZCA,2,20,0.13052352601246528,0.13040173535129013,-0.00012179066117515291
e,ZCA,2,21,0.13052352601246528,0.1261525793121689,-0.004370946700296391
e,ZCA,2,22,0.13052352601246528,0.12728505484730923,-0.0032384711651560483
e,ZCA,2,23,0.13052352601246528,0.12977090358494361,-0.0007526224275216653
e,ZCA,2,24,0.13052352601246528,0.12488841365104848,-0.005635112361416797
e,ZCA,2,25,0.13052352601246528,0.1245811596922922,-0.005942366320173073
e,ZCA,2,26,0.13052352601246528,0.13322184722277197,0.0026983212103066923
e,ZCA,2,27,0.13052352601246528,0.12406646993670252,-0.00645705607576276
e,ZCA,2,28,0.13052352601246528,0.12281167766095599,-0.007711848351509287
e,ZCA,2,29,0.13052352601246528,0.11823297322099406,-0.012290552791471218
e,ZCA,2,30,0.13052352601246528,0.12557804887117519,-0.004945477141290094
e,ZCA,2,31,0.13052352601246528,0.12121291525464911,-0.009310610757816168
e,ZCA,2,32,0.13052352601246528,0.13126429163641895,0.0007407656239536708
e,ZCA,2,33,0.13052352601246528,0.13201752363444968,0.0014939976219844053
e,ZCA,2,34,0.13052352601246528,0.13012586315737748,-0.0003976628550877992
e,ZCA,2,35,0.13052352601246528,0.1370038460470661,0.006480320034600834
e,ZCA,2,36,0.13052352601246528,0.12580958898518294,-0.004713937027282344
e,ZCA,2,37,0.13052352601246528,0.1332917291189508,0.0027682031064855117
e,ZCA,2,38,0.13052352601246528,0.12667887899063845,-0.0038446470218268247
e,ZCA,2,39,0.13052352601246528,0.1304975551311003,-2.597088136496728e-05
e,ZCA,2,40,0.13052352601246528,0.1326697649779662,0.002146238965500924
e,ZCA,2,41,0.13052352601246528,0.12613528943222305,-0.004388236580242233
e,ZCA,2,42,0.13052352601246528,0.12563913805543553,-0.004884387957029751
e,ZCA,2,43,0.13052352601246528,0.12683008729184853,-0.003693438720616754
e,ZCA,2,44,0.13052352601246528,0.1293822969671073,-0.0011412290453579887
e,ZCA,2,45,0.13052352601246528,0.12983681892908883,-0.0006867070833764533
e,ZCA,2,46,0.13052352601246528,0.12302905486627086,-0.00749447114619442
e,ZCA,2,47,0.13052352601246528,0.12558222238169214,-0.004941303630773136
e,ZCA,2,48,0.13052352601246528,0.12705896348492413,-0.003464562527541154
e,ZCA,2,49,0.13052352601246528,0.12425169436731281,-0.006271831645152465
e,ZCA,2,50,0.13052352601246528,0.1344370247966977,0.0039134987842324165
e,ZCA,2,51,0.13052352601246528,0.12097877301554325,-0.009544752996922035
e,ZCA,2,52,0.13052352601246528,0.1245937182016217,-0.005929807810843582
e,ZCA,2,53,0.13052352601246528,0.12663286943059893,-0.003890656581866353
e,ZCA,2,54,0.13052352601246528,0.12833594618241279,-0.002187579830052494
e,ZCA,2,55,0.13052352601246528,0.12895141327670176,-0.00157211273576352
e,ZCA,2,56,0.13052352601246528,0.12164068139348953,-0.008882844618975747
e,ZCA,2,57,0.13052352601246528,0.1264970235091174,-0.0040265025033478785
e,ZCA,2,58,0.13052352601246528,0.12475715609423378,-0.005766369918231498
e,ZCA,2,59,0.13052352601246528,0.12936416534984913,-0.0011593606626161546
e,ZCA,2,60,0.13052352601246528,0.12575516711448115,-0.004768358897984132
e,ZCA,2,61,0.13052352601246528,0.12040504925226016,-0.010118476760205122
e,ZCA,2,62,0.13052352601246528,0.12070470958428642,-0.009818816428178861
